date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:55	484/484	------	200	untouched ('OK')	text/plain	date:Tue,%2024%20Nov%202020%2019:53:27%20GMT	https://www.motorcars-intl.com/robots.txt		(from )
13:58:55	320100/320100	------	200	untouched ('OK')	text/html	date:Tue,%2024%20Nov%202020%2019:53:25%20GMT	https://www.motorcars-intl.com/international-exotic-car-sales	D:/Users/Matt/Desktop/work/Tradegauge/motorcars-intl/motorcars-intl/www.motorcars-intl.com/international-exotic-car-sales.html	(from )
13:58:55	399859/399859	------	200	untouched ('OK')	text/html	date:Tue,%2024%20Nov%202020%2019:53:26%20GMT	https://www.motorcars-intl.com/vehicle-details/2017-alfa-romeo-giulia-quadrifoglio-sedan-ec5135afdd494cbfa868167e973e9d82	D:/Users/Matt/Desktop/work/Tradegauge/motorcars-intl/motorcars-intl/www.motorcars-intl.com/vehicle-details/2017-alfa-romeo-giulia-quadrifoglio-sedan-ec5135afdd494cbfa868167e973e9d82.html	(from )
13:58:55	156/156	------	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Nov%202020%2019:53:35%20GMT	https://clients.automanager.com/css/custom.css	D:/Users/Matt/Desktop/work/Tradegauge/motorcars-intl/motorcars-intl/clients.automanager.com/css/custom.14.delayed	(from https://www.motorcars-intl.com/international-exotic-car-sales)
13:58:55	39680/39680	------	200	untouched ('')	text/javascript	etag:%221550076106%22	https://stackpath.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	D:/Users/Matt/Desktop/work/Tradegauge/motorcars-intl/motorcars-intl/stackpath.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	(from https://www.motorcars-intl.com/international-exotic-car-sales)
13:58:55	208/208	------	200	untouched ('')	image/png	etag:%22424a496a9d7d51:0%22	https://clients.automanager.com/images/jqueryui/ui-bg_flat_100_ffffff_40x100.png	D:/Users/Matt/Desktop/work/Tradegauge/motorcars-intl/motorcars-intl/clients.automanager.com/images/jqueryui/ui-bg_flat_100_ffffff_40x100.png	(from https://www.motorcars-intl.com/international-exotic-car-sales)
13:58:55	303/303	------	200	untouched ('')	image/png	etag:%223f99a496a9d7d51:0%22	https://clients.automanager.com/images/jqueryui/ui-bg_highlight-hard_50_99bbff_1x100.png	D:/Users/Matt/Desktop/work/Tradegauge/motorcars-intl/motorcars-intl/clients.automanager.com/images/jqueryui/ui-bg_highlight-hard_50_99bbff_1x100.png	(from https://www.motorcars-intl.com/international-exotic-car-sales)
13:58:55	262/262	------	200	untouched ('')	image/png	etag:%223472a496a9d7d51:0%22	https://clients.automanager.com/images/jqueryui/ui-bg_glass_50_e8e8e8_1x400.png	D:/Users/Matt/Desktop/work/Tradegauge/motorcars-intl/motorcars-intl/clients.automanager.com/images/jqueryui/ui-bg_glass_50_e8e8e8_1x400.png	(from https://www.motorcars-intl.com/international-exotic-car-sales)
13:58:55	336/336	------	200	untouched ('')	image/png	etag:%223472a496a9d7d51:0%22	https://clients.automanager.com/images/jqueryui/ui-bg_glass_25_3366cc_1x400.png	D:/Users/Matt/Desktop/work/Tradegauge/motorcars-intl/motorcars-intl/clients.automanager.com/images/jqueryui/ui-bg_glass_25_3366cc_1x400.png	(from https://www.motorcars-intl.com/international-exotic-car-sales)
13:58:55	208/208	------	200	untouched ('')	image/png	etag:%22424a496a9d7d51:0%22	https://clients.automanager.com/images/jqueryui/ui-bg_flat_25_ffffff_40x100.png	D:/Users/Matt/Desktop/work/Tradegauge/motorcars-intl/motorcars-intl/clients.automanager.com/images/jqueryui/ui-bg_flat_25_ffffff_40x100.png	(from https://www.motorcars-intl.com/international-exotic-car-sales)
